""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"McHD25-1"	84	47	33	27	27
"McHD25-21"	70	41	31	29	29
"McHD25-28"	173	116	93	82	82
"McHD25-3"	124	56	43	33	33
"McHD25-7"	81	45	32	32	32
"McHD25-Pre"	119	74	72	72	72
"McHD26-1"	111	83	80	73	73
"McHD26-21"	94	84	80	71	71
"McHD26-28"	406	352	336	332	332
"McHD26-3"	374	316	315	315	315
"McHD26-7"	129	95	94	94	94
"McHD26-Pre"	326	260	224	207	207
"McHD27-1"	852	719	703	680	680
"McHD27-21"	119	96	92	86	86
"McHD27-28"	285	227	221	218	218
"McHD27-3"	344	308	305	302	302
"McHD27-7"	265	218	203	194	194
"McHD27-Pre"	473	416	409	407	407
"McHD28-1"	126	91	86	85	85
"McHD28-21"	274	213	209	205	205
"McHD28-28"	143	121	114	114	114
"McHD28-3"	407	373	363	342	342
"McHD28-7"	1909	1707	1690	1631	1631
"McHD28-Pre"	34	33	31	31	31
