Sample	coral	date	type	group	copies per ul	Conc. (ng/uL)	copies per ng
McHD-25-P	coral25	pre	tissue	25T	0	4.396	0
McHD-25-P	coral25	pre	tissue	25T	0	4.396	0
McHD-25-P	coral25	pre	tissue	25T	0	4.396	0
McHD-25-1	coral25	1d	tissue	25T	0	4.094	0
McHD-25-1	coral25	1d	tissue	25T	0	4.094	0
McHD-25-1	coral25	1d	tissue	25T	0	4.094	0
McHD-25-3	coral25	3d	tissue	25T	0	4.325	0
McHD-25-3	coral25	3d	tissue	25T	0	4.325	0
McHD-25-3	coral25	3d	tissue	25T	0	4.325	0
McHD-25-7	coral25	7d	tissue	25T	0	3.349	0
McHD-25-7	coral25	7d	tissue	25T	0	3.349	0
McHD-25-7	coral25	7d	tissue	25T	0	3.349	0
McHD-25-21	coral25	21d	tissue	25T	0.06	3.617	0.016588333
McHD-25-21	coral25	21d	tissue	25T	0	3.617	0
McHD-25-21	coral25	21d	tissue	25T	0	3.617	0
McHD-25-28	coral25	28d	tissue	25T	0	3.181	0
McHD-25-28	coral25	28d	tissue	25T	0.16	3.181	0.050298648
McHD-25-28	coral25	28d	tissue	25T	0	3.181	0
McHD-26-P	coral26	pre	tissue	26T	0	3.238	0
McHD-26-P	coral26	pre	tissue	26T	0	3.238	0
McHD-26-P	coral26	pre	tissue	26T	0	3.238	0
McHD-26-1	coral26	1d	tissue	26T	0.07	6.307	0.011098779
McHD-26-1	coral26	1d	tissue	26T	0.28	6.307	0.044395117
McHD-26-1	coral26	1d	tissue	26T	0.07	6.307	0.011098779
McHD-26-3	coral26	3d	tissue	26T	0	13.719	0
McHD-26-3	coral26	3d	tissue	26T	0	13.719	0
McHD-26-3	coral26	3d	tissue	26T	0	13.719	0
McHD-26-7	coral26	7d	tissue	26T	1.2	6.908	0.173711639
McHD-26-7	coral26	7d	tissue	26T	0.85	6.908	0.123045744
McHD-26-7	coral26	7d	tissue	26T	1.2	6.908	0.173711639
McHD-26-21	coral26	21d	tissue	26T	0.06	2.757	0.021762786
McHD-26-21	coral26	21d	tissue	26T	0.06	2.757	0.021762786
McHD-26-21	coral26	21d	tissue	26T	0	2.757	0
McHD-26-28	coral26	28d	tissue	26T	0	3.426	0
McHD-26-28	coral26	28d	tissue	26T	0	3.426	0
McHD-26-28	coral26	28d	tissue	26T	0	3.426	0
McHD-27-P	coral27	pre	tissue	27T	0	6.19	0
McHD-27-P	coral27	pre	tissue	27T	0	6.19	0
McHD-27-P	coral27	pre	tissue	27T	0	6.19	0
McHD-27-1	coral27	1d	tissue	27T	0	3.587	0
McHD-27-1	coral27	1d	tissue	27T	0	3.587	0
McHD-27-1	coral27	1d	tissue	27T	0	3.587	0
McHD-27-3	coral27	3d	tissue	27T	0	3.759	0
McHD-27-3	coral27	3d	tissue	27T	0	3.759	0
McHD-27-3	coral27	3d	tissue	27T	0	3.759	0
McHD-27-7	coral27	7d	tissue	27T	0	6.447	0
McHD-27-7	coral27	7d	tissue	27T	0	6.447	0
McHD-27-7	coral27	7d	tissue	27T	0	6.447	0
McHD-27-21	coral27	21d	tissue	27T	0	7.149	0
McHD-27-21	coral27	21d	tissue	27T	0	7.149	0
McHD-27-21	coral27	21d	tissue	27T	0	7.149	0
McHD-27-28	coral27	28d	tissue	27T	0	14.635	0
McHD-27-28	coral27	28d	tissue	27T	0	14.635	0
McHD-27-28	coral27	28d	tissue	27T	0	14.635	0
McHD-28-P	coral28	pre	tissue	28T	0	4.3	0
McHD-28-P	coral28	pre	tissue	28T	0	4.3	0
McHD-28-P	coral28	pre	tissue	28T	0	4.3	0
McHD-28-1	coral28	1d	tissue	28T	0	3.479	0
McHD-28-1	coral28	1d	tissue	28T	0.07	3.479	0.020120724
McHD-28-1	coral28	1d	tissue	28T	0	3.479	0
McHD-28-3	coral28	3d	tissue	28T	0	3.18	0
McHD-28-3	coral28	3d	tissue	28T	0	3.18	0
McHD-28-3	coral28	3d	tissue	28T	0	3.18	0
McHD-28-7	coral28	7d	tissue	28T	0	2.481	0
McHD-28-7	coral28	7d	tissue	28T	0	2.481	0
McHD-28-7	coral28	7d	tissue	28T	0	2.481	0
McHD-28-21	coral28	21d	tissue	28T	0	3.947	0
McHD-28-21	coral28	21d	tissue	28T	0	3.947	0
McHD-28-21	coral28	21d	tissue	28T	0	3.947	0
McHD-28-28	coral28	28d	tissue	28T	0	2.632	0
McHD-28-28	coral28	28d	tissue	28T	0	2.632	0
McHD-28-28	coral28	28d	tissue	28T	0	2.632	0
McHD-25-Pre-W	coral25	pre	water	25W	0.13	3.401	0.038224052
McHD-25-Pre-W	coral25	pre	water	25W	0	3.401	0
McHD-25-Pre-W	coral25	pre	water	25W	0	3.401	0
McHD-25-Post-W	coral25	post	water	25W	0.78	4.72	0.165254237
McHD-25-Post-W	coral25	post	water	25W	1.04	4.72	0.220338983
McHD-25-Post-W	coral25	post	water	25W	1.6	4.72	0.338983051
McHD-25-1-W	coral25	1d	water	25W	15.3	0.67	22.8358209
McHD-25-1-W	coral25	1d	water	25W	14.8	0.67	22.08955224
McHD-25-1-W	coral25	1d	water	25W	14.8	0.67	22.08955224
McHD-25-3-W	coral25	3d	water	25W	0.06	1.46	0.04109589
McHD-25-3-W	coral25	3d	water	25W	0.06	1.46	0.04109589
McHD-25-3-W	coral25	3d	water	25W	0	1.46	0
McHD-25-7-W	coral25	7d	water	25W	0.06	14.452	0.004151675
McHD-25-7-W	coral25	7d	water	25W	0	14.452	0
McHD-25-7-W	coral25	7d	water	25W	0.06	14.452	0.004151675
McHD-25-21-W	coral25	21d	water	25W	0.14	0.701	0.199714693
McHD-25-21-W	coral25	21d	water	25W	0	0.701	0
McHD-25-21-W	coral25	21d	water	25W	0	0.701	0
McHD-25-28-W	coral25	28d	water	25W	0.06	0.948	0.063291139
McHD-25-28-W	coral25	28d	water	25W	0.06	0.948	0.063291139
McHD-25-28-W	coral25	28d	water	25W	0.25	0.948	0.26371308
McHD-26-Pre-W	coral26	pre	water	26W	0.13	1.566	0.083014049
McHD-26-Pre-W	coral26	pre	water	26W	0.28	1.566	0.178799489
McHD-26-Pre-W	coral26	pre	water	26W	0.2	1.566	0.127713921
McHD-26-Post-W	coral26	post	water	26W	1.5	1.211	1.238645747
McHD-26-Post-W	coral26	post	water	26W	2.3	1.211	1.899256813
McHD-26-Post-W	coral26	post	water	26W	1.8	1.211	1.486374897
McHD-26-1-W	coral26	1d	water	26W	0	0.581	0
McHD-26-1-W	coral26	1d	water	26W	0.07	0.581	0.120481928
McHD-26-1-W	coral26	1d	water	26W	0.13	0.581	0.223752151
McHD-26-3-W	coral26	3d	water	26W	0	0.278	0
McHD-26-3-W	coral26	3d	water	26W	0	0.278	0
McHD-26-3-W	coral26	3d	water	26W	0	0.278	0
McHD-26-7-W	coral26	7d	water	26W	0	1.245	0
McHD-26-7-W	coral26	7d	water	26W	0	1.245	0
McHD-26-7-W	coral26	7d	water	26W	0.06	1.245	0.048192771
McHD-26-21-W	coral26	21d	water	26W	0	8.109	0
McHD-26-21-W	coral26	21d	water	26W	0.13	8.109	0.01603157
McHD-26-21-W	coral26	21d	water	26W	0	8.109	0
McHD-26-28-W	coral26	28d	water	26W	0	2.753	0
McHD-26-28-W	coral26	28d	water	26W	0	2.753	0
McHD-26-28-W	coral26	28d	water	26W	0	2.753	0
McHD-27-Pre-W	coral27	pre	water	27W	0	6.407	0
McHD-27-Pre-W	coral27	pre	water	27W	0.18	6.407	0.028094272
McHD-27-Pre-W	coral27	pre	water	27W	0	6.407	0
McHD-27-Post-W	coral27	post	water	27W	2.6	2.313	1.12408128
McHD-27-Post-W	coral27	post	water	27W	3.4	2.313	1.469952443
McHD-27-Post-W	coral27	post	water	27W	2.6	2.313	1.12408128
McHD-27-1-W	coral27	1d	water	27W	2	7.393	0.270526173
McHD-27-1-W	coral27	1d	water	27W	2.1	7.393	0.284052482
McHD-27-1-W	coral27	1d	water	27W	2.9	7.393	0.392262951
